title,price,image,descrition,category
Máscara Dossier Noir 50 G,50,mascara-dossier-noir-50g-miniatura.jpg,Finalizador para todos os tipos de cabelos,Hidratação
Condicionador Coco Camomila,30,CondicionadorCocoCamomila.jpeg,Mascara para todos os tipos de cabelos,Reconstrução
Finalizador Térmico Coco & Camomila By Vitória Lima 200 mL,80,Finalizador Coco e Camomila.webp,O Finalizador Térmico da linha Coco & Camomila foi desenvolvido para finalizar os fios de uma forma eficaz e segura resultando em fios fortes brilhosos saudáveis e protegidos!
title,price,image,descrition,category
title,price,image,descrition,category
