id,title,link_foto_principal,description,category,ativo,possui_variacoes
18291835,Condicionador Extrato de Algas Marinhas Eco Belle – 1 L,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-extrato-de-algas-marinhas-eco-belle-1-l-65faedce4c2fc-medium.png,"O Condicionador Hidratante Algas Marinhas Eco Belle foi formulado para promover a reposição de nutrientes importantes para a fibra capilar. Penetra profundamente nos fios, dando brilho e maciez, deixando os cabelos saudáveis, nutridos e fáceis de pentear. Possui ação imediata.","Algas Marinhas;Condicionador;Produtos;Tratamentos",sim,nao
18291881,Shampoo Remineralizante Extrato de Algas Marinhas Eco Belle – 1 L,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-remineralizante-extrato-de-algas-marinhas-eco-belle-1-l-65faebd9b4e35-medium.png,"O Shampoo Remineralizante Algas Marinhas Eco Belle devolve aos fios as propriedades perdidas durante os processos químicos em geral. Penetra profundamente na estrutura dos fios, tornando os cabelos mais macios, hidratados e menos quebradiços. Shampoo com Ação Imediata.","Algas Marinhas;Produtos;Shampoo;Tratamentos",sim,nao
18292085,Shampoo e Condicionador Algas Marinhas 1L   Eco Belle,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-e-condicionador-algas-marinhas-1l-eco-belle-671056702fa08-medium.png,"O Shampoo Remineralizante Algas Marinhas Eco Belle devolve aos fios as propriedades perdidas durante os processos químicos em geral. Penetra profundamente na estrutura dos fios, tornando os cabelos mais macios, hidratados e menos quebradiços. Shampoo com Ação Imediata. O Condicionador Hidratante Algas Marinhas Eco Belle foi formulado para promover a reposição de nutrientes importantes para a fibra capilar. Penetra profundamente nos fios, dando brilho e maciez, deixando os cabelos saudáveis, nutridos e fáceis de pentear. Possui ação imediata.","Algas Marinhas;Kits;Produtos;Shampoo;Tratamentos",sim,nao
18292352,Condicionador Matizador   Eco Belle   1 L - NOVA EMBALAGEM,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-matizador-eco-belle-1-l-nova-embalagem-6659db0c16c00-medium.png,"O Condicionador Matizador Eco Belle 1L é indicado para neutralizar a tonalidade amarelada ou dourada que vai se formando nos fios com o passar do tempo. Possui em sua composição o poderoso Violet 43, que tem a exclusiva propriedade de ocultar as matizes amarelas frequentemente percebidas em cabelo cinza ou descorado.Resultado: Cabelos macios, sedosos, luminosos e maleáveis.","Blond Hair;Condicionador;Para Cabelos Loiros;Produtos;Tratamentos",sim,nao
